	parent	trade_efficiency	profit	avg_float_parent	sales	trade_cost	weights	outcome_sum	outcome_prices	outcome_names
554	StatTrak™ MP7 | Ocean Foam (Factory New)	0.426	137.403	0.01	1	322.3	0.1217	459.70300000000003	643.5,779.512,297.823,117.975	StatTrak™ AUG | Bengal Tiger (Factory New),StatTrak™ Nova | Bloomstick (Factory New),StatTrak™ AWP | Corticera (Factory New),StatTrak™ P2000 | Corticera (Factory New)
515	StatTrak™ MAG-7 | Cobalt Core (Field-Tested)	0.42200000000000004	5.861000000000001	0.165	1	13.9	0.0052	19.761	26.998,21.44,10.813,19.793	StatTrak™ Galil AR | Stone Cold (Minimal Wear),StatTrak™ P250 | Wingshot (Minimal Wear),StatTrak™ M249 | Nebula Crusader (Field-Tested),StatTrak™ MP7 | Special Delivery (Minimal Wear)
623	P250 | Bone Mask (Well-Worn)	0.42200000000000004	13.155	0.525	1	31.2	0.0116	44.355	17.803,73.125,17.55,15.795,97.5	Glock-18 | Groundwater (Well-Worn),SSG 08 | Tropical Storm (Well-Worn),Negev | CaliCamo (Field-Tested),SG 553 | Gator Mesh (Field-Tested),MP7 | Orange Peel (Well-Worn)
49	StatTrak™ UMP-45 | Gold Bismuth (Battle-Scarred)	0.42100000000000004	11.922	0.385	1	28.3	0.0106	40.222	37.83,42.802,40.034	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Field-Tested)
61	StatTrak™ Glock-18 | Vogue (Field-Tested)	0.418	133.322	0.185	1	319.0	0.1181	452.32199999999995	681.408,223.236	StatTrak™ Desert Eagle | Printstream (Minimal Wear),StatTrak™ AK-47 | Legion of Anubis (Minimal Wear)
380	StatTrak™ PP-Bizon | Jungle Slipstream (Field-Tested)	0.418	3.264	0.155	1	7.8	0.0029	11.064	6.24,11.992,14.82,10.676,11.593	StatTrak™ UMP-45 | Scaffold (Field-Tested),StatTrak™ Galil AR | Crimson Tsunami (Minimal Wear),StatTrak™ M249 | Emerald Poison Dart (Factory New),StatTrak™ XM1014 | Seasons (Minimal Wear),StatTrak™ MAC-10 | Last Dive (Minimal Wear)
39	StatTrak™ Nova | Clear Polymer (Field-Tested)	0.41600000000000004	17.352999999999998	0.21	1	41.7	0.0154	59.053000000000004	37.83,42.802,96.525	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Minimal Wear)
211	StatTrak™ MP5-SD | Phosphor (Factory New)	0.415	343.48699999999997	0.03	1	827.0	0.3042	1170.487	1949.025,391.95	StatTrak™ AK-47 | Asiimov (Factory New),StatTrak™ AWP | Neo-Noir (Factory New)
525	StatTrak™ P2000 | Handgun (Field-Tested)	0.41200000000000003	18.249000000000002	0.215	1	44.3	0.0162	62.549	41.613,29.152,116.883	StatTrak™ SG 553 | Cyrex (Field-Tested),StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested),StatTrak™ MP7 | Nemesis (Factory New)
519	StatTrak™ XM1014 | Scumbria (Minimal Wear)	0.41200000000000003	12.235	0.075	1	29.7	0.0108	41.935	63.268,47.668,20.436,36.367	StatTrak™ Galil AR | Stone Cold (Factory New),StatTrak™ P250 | Wingshot (Factory New),StatTrak™ M249 | Nebula Crusader (Minimal Wear),StatTrak™ MP7 | Special Delivery (Factory New)
